tradeinfo_Ticker,tradeinfo_entry_date,tradeinfo_entry_price,tradeinfo_number_shares,tradeinfo_exit_date,tradeinfo_exit_price,tradeinfo_gain_percentage,tradeinfo_gain_absolut,tradeinfo_tax,tradeinfo_fees,fundamentals_sector,fundamentals_market_cap,fundamentals_price_to_earning,fundamentals_price_to_book,fundamentals_dept_to_equity,fundamentals_free_cash_flow,fundamentals_PEG_ratio,fundamentals_market_sentiment,fundamentals_analyst_rating,technical_risk_reward_ratio,technical_RSI,technical_trend_mac_d,technical_on_balance_volume,technical_AD_line,technical_ADX,technical_aroon_indicator,human_trading_idea_description,human_mood_on_entry,human_mood_on_exit,human_mistake,human_reflection_for_improvement,human_picture_path
TSLA,2023-10-21,344.74,21,2022-08-27,270.06,-21.66,-1568.25,22.12,6.32,Technology,1.000.000.000.000,22.67,3.05,1.89,285555653.88,1.98,Bearish,Hold,1:1,92.47,4.0,162467085.38,0.65,9.37,57.69,Idea 4,Fearful,Frustrated,Failing to account for inflation and interest rates,Improvement 4,Here Is A Default Path
MSFT,2023-10-20,216.49,7,2021-07-14,402.14,85.76,1299.57,25.8,6.99,Real Estate,1.000.000.000.000,26.16,1.99,0.74,301577431.51,1.23,Sideways,Sell,1:4,11.35,3.97,85055825.03,0.69,56.83,50.26,Idea 3,Disappointed,Indifferent,Not considering the opportunity cost of investment decisions,Improvement 3,Here Is A Default Path
MSFT,2023-09-19,246.54,18,2023-10-26,112.53,-54.36,-2412.35,28.3,4.45,Consumer Cyclical,200.000.000.000,13.73,8.75,1.44,503176344.21,1.64,Bullish,Buy,1:8,66.0,-1.51,10187854.57,0.24,24.4,72.25,Idea 7,Hopeful,Hopeful,Not understanding the products being traded,Improvement 7,Here Is A Default Path
TSLA,2023-06-09,179.87,14,2021-06-02,258.06,43.47,1094.67,11.91,7.5,Consumer Defensive,10.000.000.000,26.15,4.76,1.93,908357620.08,1.05,Bullish,Sell,1:8,52.97,3.87,6056522.26,0.65,89.2,64.55,Idea 10,Disappointed,Disappointed,Ignoring the overall market trend,Improvement 10,Here Is A Default Path
TSLA,2023-06-08,272.78,37,2023-03-05,172.89,-36.62,-3695.69,24.23,7.02,Healthcare,200.000.000.000,28.59,3.86,0.33,497751257.39,0.72,Sideways,Sell,1:7,34.11,-4.07,642389614.51,0.55,65.76,79.48,Idea 2,Disappointed,Hopeful,Ignoring the financial health of the company,Improvement 2,Here Is A Default Path
NEW,2023-06-04,123,23,,,,,,,Basic Materials,300.000.000,,,,,,Bullish,Strong Buy,1:1,,,,,,,,FOMO,,,,None
AMZN,2022-01-02,309.9,3,2022-06-02,256.42,-17.26,-160.43,13.98,4.34,Healthcare,1.000.000.000.000,13.22,9.06,0.52,252530513.53,0.86,Sideways,Hold,1:8,13.75,-2.58,780095670.31,0.16,84.92,63.11,Idea 1,FOMO,Unsure,No mistake made :),Improvement 1,Here Is A Default Path
GOOGL,2021-06-11,216.86,39,2023-03-19,327.08,50.83,4298.67,23.02,6.05,Utilities,1.000.000.000.000,26.07,8.36,1.09,609954769.65,1.51,Bullish,Hold,1:8,25.79,-1.61,606822630.6,0.71,26.52,19.52,Idea 6,Fearful,Fearful,Investing without understanding the level of risk involved,Improvement 6,Here Is A Default Path
TSLA,2021-02-27,155.8,9,2021-05-12,183.18,17.57,246.41,28.53,3.47,Utilities,10.000.000.000,27.43,4.84,0.71,37850060.41,0.86,Bearish,Sell,1:1,87.73,1.33,898655634.34,0.22,36.77,49.25,Idea 5,Frustrated,FOMO,Impulsive trading,Improvement 5,Here Is A Default Path
MSFT,2021-02-22,282.43,4,2021-06-06,436.91,54.7,617.94,27.0,9.75,Healthcare,1.000.000.000.000,27.85,1.06,0.79,52427272.5,0.86,Bearish,Hold,1:7,81.72,2.26,102370071.32,0.33,97.3,28.08,Idea 8,Satisfied,Greedy,No mistake made :),Improvement 8,Here Is A Default Path
MSFT,2021-02-08,414.07,25,2023-05-01,279.9,-32.4,-3354.22,18.99,8.64,Basic Materials,10.000.000.000,20.79,5.6,1.95,279367817.77,1.59,Sideways,Hold,1:2,55.52,3.97,663838267.34,0.75,39.31,2.43,Idea 9,Excited,Excited,Investing without understanding the level of risk involved,Improvement 9,Here Is A Default Path
